Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RNA_trim_37.left_paired	41.21429074536241	43.0	97.65595439573875	0.0	834308.0
RNA_trim_37.left_unpaired	23.797547193905515	45.0	75.53918970924549	18.181818181818183	226067.0
RNA_trim_37.right_paired	34.5005985733861	43.0	95.54465976593777	9.090909090909092	834308.0
RNA_trim_37.right_unpaired	1.7277571451639062	44.0	74.1756822218634	9.090909090909092	6193.0
RNA_trim_39.left_paired	49.70869412774117	43.0	97.8343817908206	0.0	700394.0
RNA_trim_39.left_unpaired	31.5458057661735	45.0	74.24358787677075	18.181818181818183	192292.0
RNA_trim_39.right_paired	41.327540564717125	42.0	95.42506931812666	9.090909090909092	700394.0
RNA_trim_39.right_unpaired	0.9821038847664738	44.0	74.40506329113924	9.090909090909092	4582.0
SRR4342129_1.paired	1.7549911326778442	45.0	98.83700438147928	9.090909090909092	24055346.0
SRR4342129_2.paired	1.7682653942524809	45.0	99.30086226986717	9.090909090909092	24055346.0
SRR4342133_1.paired	5.297814417919511	46.0	98.83059765566335	9.090909090909092	29977094.0
SRR4342133_2.paired	5.382784143942146	46.0	99.27033621070808	9.090909090909092	29977094.0
SRR4342137.1	51.03773789555195	44.0	101.0	36.36363636363637	1304686.0
SRR4342137.2	43.616861461211606	44.0	101.0	36.36363636363637	1304686.0
SRR4342139.1	60.33826223096438	44.0	101.0	45.45454545454545	1213040.0
SRR4342139.2	52.214007656106766	44.0	101.0	54.54545454545454	1213040.0
